source,source_doc_id,title,abstract,publication_year,publication_date,journal,article_date,article_year,journal_pub_date,journal_pub_year,clean_text
pubmed,39822704,Is the curriculum of transfusion medicine in MBBS aligned with practical needs: A point of view of fresh graduates.,"OBJECTIVE: The objective of the study is to assess the satisfaction level of doctors regarding their competence in the blood transfusion process and their reflection on training at the undergraduate level. BACKGROUND: Transfusion errors due to suboptimal knowledge and lack of training can lead to grave outcomes. Therefore, to optimize patient care, a thorough understanding of transfusion medicine basics is highly imperative for all medical graduates. METHODOLOGY: This survey was conducted online through Google forms with a questionnaire consisting of 15 questions. 8 medical colleges (4 government and 4 private) were selected by random cluster sampling technique. Data were analyzed with SPSS version 23. RESULTS: Of 502 participants, 53.8% were females and 69.9% were graduates of public medical colleges. About 84.6% did not receive any formal training on transfusion during graduation. Almost 82% felt that the current curriculum is not designed to meet their practical needs of blood transfusion and 52% agreed that knowledge of transfusion medicine is required for undergraduates. The survey also revealed that 70.5% of participants believed that whole blood is required for most patients and 49.8% did not feel confident to manage transfusion-related complications by themselves. CONCLUSION: Our survey showed that our undergraduate curriculum is not aligned with the practical transfusion needs of a young doctor. As transfusions are being carried out by these young doctors, this needs to be addressed by revising the current curriculum and incorporating teaching and hands-on training to our medical graduates.",2024,2024,Asian journal of transfusion science,2022-05-26,2022.0,2024,2024.0,"Is the curriculum of transfusion medicine in MBBS aligned with practical needs: A point of view of fresh graduates. OBJECTIVE: The objective of the study is to assess the satisfaction level of doctors regarding their competence in the blood transfusion process and their reflection on training at the undergraduate level. BACKGROUND: Transfusion errors due to suboptimal knowledge and lack of training can lead to grave outcomes. Therefore, to optimize patient care, a thorough understanding of transfusion medicine basics is highly imperative for all medical graduates. METHODOLOGY: This survey was conducted online through Google forms with a questionnaire consisting of 15 questions. 8 medical colleges (4 government and 4 private) were selected by random cluster sampling technique. Data were analyzed with SPSS version 23. RESULTS: Of 502 participants, 53.8% were females and 69.9% were graduates of public medical colleges. About 84.6% did not receive any formal training on transfusion during graduation. Almost 82% felt that the current curriculum is not designed to meet their practical needs of blood transfusion and 52% agreed that knowledge of transfusion medicine is required for undergraduates. The survey also revealed that 70.5% of participants believed that whole blood is required for most patients and 49.8% did not feel confident to manage transfusion-related complications by themselves. CONCLUSION: Our survey showed that our undergraduate curriculum is not aligned with the practical transfusion needs of a young doctor. As transfusions are being carried out by these young doctors, this needs to be addressed by revising the current curriculum and incorporating teaching and hands-on training to our medical graduates."
pubmed,39822703,Prevalence of hemoglobinopathies using high-performance liquid chromatography as diagnostic tool in anemic patients of tertiary care center of Western India.,"CONTEXT: Hemoglobinopathies are the most common heterogeneous group of monogenetic disorder in the world and its prevalence varies with geographical regions. India is developing country and many studies show a significant burden of hemoglobinopathies in India. AIMS: The aim of the present study was to check the prevalence of various hemoglobinopathies in anemic subjects using high-performance liquid chromatography (HPLC) method in Pune region which has multiple ethnic population groups from all parts of India. SETTINGS AND DESIGN: The present study was conducted at the department of IH and BT on anemic patients referred from different outpatient department and Wards of the hospital and informed consent were taken from all participants. SUBJECTS AND METHODS: The present study included a total of 2698 individuals' age ranging from 1.5 to 67 years. The HPLC test was performed using Bio-Rad D-10 analyzer once a week. RESULTS: Out of a total of 2698 cases, we found 543 (20.12%) cases with abnormal hemoglobin fractions and 2155 (79.88%) cases free from hemoglobinopathies. Out of the total hemoglobinopathies detected 250 (46%) were male and 293 (54%) were female. The major abnormality detected was beta-thalassemia trait (BTT) with 425 (15.75%) cases, followed by sickle cell disorders 58 (2.15%), HbE 38 (1.41%), hereditary persistence of fetal hemoglobin 6 (0.22%), HbD Punjab 13 (0.48%), HbD Iran 2 cases and 4 cases of compound heterozygous for HbS beta-thalassemia. Forty (1.48%) cases were detected as borderline with HbA2 level ranges from 3.6% to 3.9%. CONCLUSIONS: In our study, we found a high prevalence of hemoglobinopathies among anemic subjects. The most common disorder detected was BTT. Most of the hemoglobinopathies found in our study could be accurately quantified by HPLC which is a rapid, sensitive, and reproducible method for the detection of different hemoglobinopathies.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"Prevalence of hemoglobinopathies using high-performance liquid chromatography as diagnostic tool in anemic patients of tertiary care center of Western India. CONTEXT: Hemoglobinopathies are the most common heterogeneous group of monogenetic disorder in the world and its prevalence varies with geographical regions. India is developing country and many studies show a significant burden of hemoglobinopathies in India. AIMS: The aim of the present study was to check the prevalence of various hemoglobinopathies in anemic subjects using high-performance liquid chromatography (HPLC) method in Pune region which has multiple ethnic population groups from all parts of India. SETTINGS AND DESIGN: The present study was conducted at the department of IH and BT on anemic patients referred from different outpatient department and Wards of the hospital and informed consent were taken from all participants. SUBJECTS AND METHODS: The present study included a total of 2698 individuals' age ranging from 1.5 to 67 years. The HPLC test was performed using Bio-Rad D-10 analyzer once a week. RESULTS: Out of a total of 2698 cases, we found 543 (20.12%) cases with abnormal hemoglobin fractions and 2155 (79.88%) cases free from hemoglobinopathies. Out of the total hemoglobinopathies detected 250 (46%) were male and 293 (54%) were female. The major abnormality detected was beta-thalassemia trait (BTT) with 425 (15.75%) cases, followed by sickle cell disorders 58 (2.15%), HbE 38 (1.41%), hereditary persistence of fetal hemoglobin 6 (0.22%), HbD Punjab 13 (0.48%), HbD Iran 2 cases and 4 cases of compound heterozygous for HbS beta-thalassemia. Forty (1.48%) cases were detected as borderline with HbA2 level ranges from 3.6% to 3.9%. CONCLUSIONS: In our study, we found a high prevalence of hemoglobinopathies among anemic subjects. The most common disorder detected was BTT. Most of the hemoglobinopathies found in our study could be accurately quantified by HPLC which is a rapid, sensitive, and reproducible method for the detection of different hemoglobinopathies."
pubmed,39822702,Smart approaches for encouraging the blood donation.,"Blood is a life saver in many emergencies like accidents or for the patients suffering from deadly diseases such as cancer and thalassemia. Conventionally, blood collection is done in five steps, i.e., recruitment, screening, physical examination, collection, and postdonation care. The huge demand of blood requires the implementation of smart approaches in the field of blood donation, which allows specific, measurable, achievable, and timely outcomes. This paper throws light on various smart approaches to motivate and attract people for blood donation. Gamification, social media, short message service, mobile applications, and other web-based applications are some of these approaches reviewed in this article. A number of platforms are also highlighted where one can seek potential donors or blood banks easily during urgency, avoiding the complex steps followed in traditional blood donation systems.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"Smart approaches for encouraging the blood donation. Blood is a life saver in many emergencies like accidents or for the patients suffering from deadly diseases such as cancer and thalassemia. Conventionally, blood collection is done in five steps, i.e., recruitment, screening, physical examination, collection, and postdonation care. The huge demand of blood requires the implementation of smart approaches in the field of blood donation, which allows specific, measurable, achievable, and timely outcomes. This paper throws light on various smart approaches to motivate and attract people for blood donation. Gamification, social media, short message service, mobile applications, and other web-based applications are some of these approaches reviewed in this article. A number of platforms are also highlighted where one can seek potential donors or blood banks easily during urgency, avoiding the complex steps followed in traditional blood donation systems."
pubmed,39822701,A patient with probable rare blood Group B(A) phenotype.,"Karl Landsteiner discovered ABO blood group system in the early 20th century, but still, uncertainty remains in immunohematology while detection of ABO subgroups or weaker variants. The presence of weak subgroups in patient samples gives rise to the discrepancy in forward (cell) and reverse (serum) grouping. We here report a case of the B(A) phenotype in a patient who was diagnosed with chronic liver disease with acute pancreatitis, requiring packed red blood cells due to anemia. The blood group discrepancy was resolved using serological testing and adsorption-elution technique. Blood grouping by the tube technique showed 2+ agglutination with anti-A antisera, strong agglutination (4+) with anti-B, anti-AB, and anti-D antisera, 4+ agglutination with A1 cells, and no agglutination with B cells and O cells in serum grouping. Results for both eluate and last wash were negative to all the donor cells used. This report highlights the importance of cell and serum grouping, solving blood group discrepancy, and also in providing crossmatch compatible blood components without delay. This rare phenotype in a patient is the first of its kind reported from India.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"A patient with probable rare blood Group B(A) phenotype. Karl Landsteiner discovered ABO blood group system in the early 20th century, but still, uncertainty remains in immunohematology while detection of ABO subgroups or weaker variants. The presence of weak subgroups in patient samples gives rise to the discrepancy in forward (cell) and reverse (serum) grouping. We here report a case of the B(A) phenotype in a patient who was diagnosed with chronic liver disease with acute pancreatitis, requiring packed red blood cells due to anemia. The blood group discrepancy was resolved using serological testing and adsorption-elution technique. Blood grouping by the tube technique showed 2+ agglutination with anti-A antisera, strong agglutination (4+) with anti-B, anti-AB, and anti-D antisera, 4+ agglutination with A1 cells, and no agglutination with B cells and O cells in serum grouping. Results for both eluate and last wash were negative to all the donor cells used. This report highlights the importance of cell and serum grouping, solving blood group discrepancy, and also in providing crossmatch compatible blood components without delay. This rare phenotype in a patient is the first of its kind reported from India."
pubmed,39822700,Serial intrauterine transfusion for severe fetal anemia due to anti-M alloimmunization.,"Anti-M antibody is one of the causes of severe fetal anemia and intrauterine death despite its relatively low frequency. A G3P2 26-year-old pregnant woman referred to our hospital at 29 weeks gestational age (WGA) with fetal hydrops. Her second pregnancy results in intrauterine fetal death at 35 WGA due to fetal hydrops. From ultrasound exam, we found singleton live fetus with ascites, cardiomegaly, and pericardial effusion. The peak systolic velocity in the fetal middle cerebral artery (PSV-MCA) was 1.44 multiples of the median corresponding to fetal anemia. The patient's blood group was B RhD+M- N+. A reactive IgG anti-M antibody was detected at 37°C. Fetal hemoglobin (Hb) from the first cordocentesis was 2.2 g/dl and we perform multiple intrauterine transfusions and cesarean section at 34 WGA. The postdelivery Hb level was 10.2 g/dl and infant need three times packed red blood cell transfusions after delivery.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"Serial intrauterine transfusion for severe fetal anemia due to anti-M alloimmunization. Anti-M antibody is one of the causes of severe fetal anemia and intrauterine death despite its relatively low frequency. A G3P2 26-year-old pregnant woman referred to our hospital at 29 weeks gestational age (WGA) with fetal hydrops. Her second pregnancy results in intrauterine fetal death at 35 WGA due to fetal hydrops. From ultrasound exam, we found singleton live fetus with ascites, cardiomegaly, and pericardial effusion. The peak systolic velocity in the fetal middle cerebral artery (PSV-MCA) was 1.44 multiples of the median corresponding to fetal anemia. The patient's blood group was B RhD+M- N+. A reactive IgG anti-M antibody was detected at 37°C. Fetal hemoglobin (Hb) from the first cordocentesis was 2.2 g/dl and we perform multiple intrauterine transfusions and cesarean section at 34 WGA. The postdelivery Hb level was 10.2 g/dl and infant need three times packed red blood cell transfusions after delivery."
pubmed,39822697,Safety and efficacy of therapeutic plasma exchange in neuromyelitis optica: A retrospective study from South India.,"INTRODUCTION: Neuromyelitis optica (NMO) is an idiopathic demyelinating disorder characterized mainly by optic neuritis and myelitis, causing gradual loss of vision and deterioration of neurological function. The underlying pathogenesis mainly involves antibodies against aquaporin 4. The effectiveness of therapeutic plasma exchange (TPE) has been shown by many studies across the globe but are only a few from India. We studied ten cases of NMO retrospectively to find out the safety and efficacy of plasma exchange and to know the outcome of those patients who underwent the procedure. MATERIALS AND METHODS: We retrospectively analyzed ten cases of NMO who underwent TPE from January 2017 to July 2021. Out of 153 patients on whom plasma exchange procedures were done during this period, ten cases of NMO were diagnosed and managed with TPE. RESULTS: In our study, we found that 6 of our patients (60%) had a marked improvement noticed clinically with an increase in baseline power of limbs from 0-2/5 to 3-5/5. However, two patients expired after despite TPE. The other two did not show any improvement. Four of our patients started showing clinical improvement after the 2nd-3rd cycles of treatment. TPE was initiated early (within 5 days). There were no notable events in most of the procedures except in one procedure where the patient developed hypotension, her saturation started to drop, and the procedure had to be aborted. CONCLUSION: Our study supports the effectiveness of timely initiation of plasma exchange to improve the overall mortality rate of the patients.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"Safety and efficacy of therapeutic plasma exchange in neuromyelitis optica: A retrospective study from South India. INTRODUCTION: Neuromyelitis optica (NMO) is an idiopathic demyelinating disorder characterized mainly by optic neuritis and myelitis, causing gradual loss of vision and deterioration of neurological function. The underlying pathogenesis mainly involves antibodies against aquaporin 4. The effectiveness of therapeutic plasma exchange (TPE) has been shown by many studies across the globe but are only a few from India. We studied ten cases of NMO retrospectively to find out the safety and efficacy of plasma exchange and to know the outcome of those patients who underwent the procedure. MATERIALS AND METHODS: We retrospectively analyzed ten cases of NMO who underwent TPE from January 2017 to July 2021. Out of 153 patients on whom plasma exchange procedures were done during this period, ten cases of NMO were diagnosed and managed with TPE. RESULTS: In our study, we found that 6 of our patients (60%) had a marked improvement noticed clinically with an increase in baseline power of limbs from 0-2/5 to 3-5/5. However, two patients expired after despite TPE. The other two did not show any improvement. Four of our patients started showing clinical improvement after the 2nd-3rd cycles of treatment. TPE was initiated early (within 5 days). There were no notable events in most of the procedures except in one procedure where the patient developed hypotension, her saturation started to drop, and the procedure had to be aborted. CONCLUSION: Our study supports the effectiveness of timely initiation of plasma exchange to improve the overall mortality rate of the patients."
pubmed,39822692,Para-Bombay blood group: Report of a rare blood group.,Para-Bombay blood group is a rare blood group typically characterized by the absence of H antigens on red blood cell and the presence of ABH substances on secretion. It can be easily missed and often mistaken as blood group O without extended testing. Detection is important as it significantly affect transfusion management. We report two cases of Para-Bombay A blood group in a teaching hospital in a North-Eastern state of Malaysia.,2024,2024,Asian journal of transfusion science,2022-05-26,2022.0,2024,2024.0,Para-Bombay blood group: Report of a rare blood group. Para-Bombay blood group is a rare blood group typically characterized by the absence of H antigens on red blood cell and the presence of ABH substances on secretion. It can be easily missed and often mistaken as blood group O without extended testing. Detection is important as it significantly affect transfusion management. We report two cases of Para-Bombay A blood group in a teaching hospital in a North-Eastern state of Malaysia.
pubmed,39822691,Influence of blood transfusion during induction chemotherapy on treatment outcomes in acute myeloid leukemia.,"BACKGROUND: Transfusion is an integral part of supportive care in patients undergoing aggressive chemotherapy for acute myeloid leukemia (AML). As transfusion induces immune modulation, the objective of the study was to assess whether the intensity of red blood cell (RBC) and platelet (PLT) transfusion during induction chemotherapy influences complete remission (CR) and overall survival (OS) in newly diagnosed AML patients. METHODS: Details of the number of RBC units and PLT events transfused from diagnosis till completion of induction chemotherapy were collected. Patients were stratified as high or low intensity for transfusion based on median RBC units and PLT events transfused per week. The influence of transfusion intensity on CR and OS was estimated using multivariate analysis and log-rank test, respectively. RESULTS: Among 90 patients analyzed, the median RBC unit required was 1.7 units/week and PLT transfused was 1.5 events/week. Patients requiring transfusion at disease presentation had significantly higher intensity of RBC and PLT transfusions. Only high intensity for RBC transfusion (P = 0.016) appeared among prognostic factors for achieving CR. The OS was not affected in patients requiring high intensity of RBC (P = 0.314) and PLT (P = 0.504) transfusions. CONCLUSION: Transfusion support was higher in patients with a high disease burden at diagnosis. The lower intensity of RBC transfusion goes along with the response to chemotherapy in terms of CR but not OS.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"Influence of blood transfusion during induction chemotherapy on treatment outcomes in acute myeloid leukemia. BACKGROUND: Transfusion is an integral part of supportive care in patients undergoing aggressive chemotherapy for acute myeloid leukemia (AML). As transfusion induces immune modulation, the objective of the study was to assess whether the intensity of red blood cell (RBC) and platelet (PLT) transfusion during induction chemotherapy influences complete remission (CR) and overall survival (OS) in newly diagnosed AML patients. METHODS: Details of the number of RBC units and PLT events transfused from diagnosis till completion of induction chemotherapy were collected. Patients were stratified as high or low intensity for transfusion based on median RBC units and PLT events transfused per week. The influence of transfusion intensity on CR and OS was estimated using multivariate analysis and log-rank test, respectively. RESULTS: Among 90 patients analyzed, the median RBC unit required was 1.7 units/week and PLT transfused was 1.5 events/week. Patients requiring transfusion at disease presentation had significantly higher intensity of RBC and PLT transfusions. Only high intensity for RBC transfusion (P = 0.016) appeared among prognostic factors for achieving CR. The OS was not affected in patients requiring high intensity of RBC (P = 0.314) and PLT (P = 0.504) transfusions. CONCLUSION: Transfusion support was higher in patients with a high disease burden at diagnosis. The lower intensity of RBC transfusion goes along with the response to chemotherapy in terms of CR but not OS."
pubmed,39822688,Red blood cell alloimmunization among transfusion-dependent thalassemia major patients in Northeastern Iran.,"BACKGROUND: Thalassemia is one of the most common congenital hemoglobinopathies globally. Regular red blood cell (RBC) transfusion is of paramount importance in the treatment of thalassemia patients. However, this practice increases the risk of alloimmunization. This study was performed to determine the prevalence of RBC antibodies among multiple-transfused thalassemic patients in southern Khorasan, the eastern side of Iran. METHODS: For the purpose of screening unexpected antibodies, blood samples of 68 β-thalassemia major patients were investigated. After determining positive cases through screening phase, the process of antibody identification was carried out using reagent cells. RESULTS: The overall rate of alloimmunization was 2.9%, and the most frequent clinically important alloantibodies were anti-Kell and anti-Rh systems. Anti-K was detected in one of the patients. Furthermore, the simultaneous occurrence of anti-E and anti-C was seen in another study subject. CONCLUSION: A number of factors might have contributed to the low alloimmunization rate detected in this study, including the homogeneity of the population in South Khorasan, well-matched donors for those patients, first transfusion at an early age, and the use of leukodepleted blood.",2024,2024,Asian journal of transfusion science,2022-12-12,2022.0,2024,2024.0,"Red blood cell alloimmunization among transfusion-dependent thalassemia major patients in Northeastern Iran. BACKGROUND: Thalassemia is one of the most common congenital hemoglobinopathies globally. Regular red blood cell (RBC) transfusion is of paramount importance in the treatment of thalassemia patients. However, this practice increases the risk of alloimmunization. This study was performed to determine the prevalence of RBC antibodies among multiple-transfused thalassemic patients in southern Khorasan, the eastern side of Iran. METHODS: For the purpose of screening unexpected antibodies, blood samples of 68 β-thalassemia major patients were investigated. After determining positive cases through screening phase, the process of antibody identification was carried out using reagent cells. RESULTS: The overall rate of alloimmunization was 2.9%, and the most frequent clinically important alloantibodies were anti-Kell and anti-Rh systems. Anti-K was detected in one of the patients. Furthermore, the simultaneous occurrence of anti-E and anti-C was seen in another study subject. CONCLUSION: A number of factors might have contributed to the low alloimmunization rate detected in this study, including the homogeneity of the population in South Khorasan, well-matched donors for those patients, first transfusion at an early age, and the use of leukodepleted blood."
pubmed,39822686,"Syncopal reactions in blood donors: Pathophysiology, clinical course, and features.","Vasovagal syncope (VVS) in donors is a transient loss of consciousness due to short-term global cerebral hypoperfusion, which has a rapid onset and has complete spontaneous recovery. VVS may be triggered by pain, fear, anxiety, or emotional upset and loss of blood perse. It is an exaggeration of an adaptive response meant to assist in reducing the amount of bleeding/loss of blood. The four major components necessary for rapid cardiovascular adjustments to supine or upright posture, otherwise called orthostasis, are the autonomic nervous system, adequate blood volume, and intact skeletal and respiratory muscle pumps. The taxing of these autoregulatory mechanisms and their inability to compensate sufficiently results in VVS. VVR episodes can be described in 3 phases; Presyncope, Syncope, and Postsyncope. The actual syncope generally lasts for <15 s, comprising staring, muscle jerks, eye deviation/rolling, sometimes incontinence, loss of consciousness, gasping, snoring, apnea, inability to move/react, etc., The postsyncopal phase is the longest, which is generally manifested as fatigue.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"Syncopal reactions in blood donors: Pathophysiology, clinical course, and features. Vasovagal syncope (VVS) in donors is a transient loss of consciousness due to short-term global cerebral hypoperfusion, which has a rapid onset and has complete spontaneous recovery. VVS may be triggered by pain, fear, anxiety, or emotional upset and loss of blood perse. It is an exaggeration of an adaptive response meant to assist in reducing the amount of bleeding/loss of blood. The four major components necessary for rapid cardiovascular adjustments to supine or upright posture, otherwise called orthostasis, are the autonomic nervous system, adequate blood volume, and intact skeletal and respiratory muscle pumps. The taxing of these autoregulatory mechanisms and their inability to compensate sufficiently results in VVS. VVR episodes can be described in 3 phases; Presyncope, Syncope, and Postsyncope. The actual syncope generally lasts for <15 s, comprising staring, muscle jerks, eye deviation/rolling, sometimes incontinence, loss of consciousness, gasping, snoring, apnea, inability to move/react, etc., The postsyncopal phase is the longest, which is generally manifested as fatigue."
pubmed,39822683,Managing blood requirement in a rare P-null phenotype patient during the COVID pandemic in a resource-limited setting.,"We report the case of a 5-year-old girl with a rare P-null phenotype who presented for a neurosurgical procedure at our center. The case is unique as this patient was one of the two P-null phenotype cases reported in India and we report how we could successfully arrange a rare blood unit for her. As it was challenging to find a donor for her, autologous blood was collected. Despite iron supplementation and erythropoietin injections, her hemoglobin remained low and the required number of autologous units could not be collected. As a consequence of the search initiated with the international and regional rare donor registries, a donor was identified in a remote village in India. Despite the logistic hurdles due to the COVID pandemic, the blood could be transported safely for performing the surgery. A centralized database of rare donors needs to be established to meet such requirements.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"Managing blood requirement in a rare P-null phenotype patient during the COVID pandemic in a resource-limited setting. We report the case of a 5-year-old girl with a rare P-null phenotype who presented for a neurosurgical procedure at our center. The case is unique as this patient was one of the two P-null phenotype cases reported in India and we report how we could successfully arrange a rare blood unit for her. As it was challenging to find a donor for her, autologous blood was collected. Despite iron supplementation and erythropoietin injections, her hemoglobin remained low and the required number of autologous units could not be collected. As a consequence of the search initiated with the international and regional rare donor registries, a donor was identified in a remote village in India. Despite the logistic hurdles due to the COVID pandemic, the blood could be transported safely for performing the surgery. A centralized database of rare donors needs to be established to meet such requirements."
pubmed,39822682,Serological comparison of weak D versus weakly reacting D by four different methods.,"INTRODUCTION: Weak D red cells were defined as having a reduced amount of D antigen (formerly called ""Du"") that required an indirect antiglobulin test (IAT) for detection. Weakly reacting D is those which give <2+ reactions on routine methods. The present study is sharing our experience on weak D and weakly positive anti-D in various methods. MATERIALS AND METHODS: All the blood sample of patients and blood donor, which were RhD negative, were included in the study. Furthermore, RhD positive sample <2+ was included. We repeated blood grouping of all these samples by gel card (Tulip), tube method (two different antisera), slide method, and Solid Phase Red Cell Adherence (SPRCA) (Immucore, USA). RESULTS: A total number of samples were 27,245. RhD negative found out to be 945 (3.46%). Out of all, 929 (98.3%) samples were Rh D negative in gel card and IAT negative, while 16 (1.7%) were weak D positive. Rh D typing with these samples by different antisera at four platforms showed that 14 were weakly positive (<2+) in any of the four platforms. Similarly, out of 26,300 Rh D Positive samples, 21 samples (0.079%) were serologically weak (<2+). Repeat Rh D typing was done with different antisera in all four platforms. Result showed more than 50% were Rh D negative in any of four platforms. CONCLUSION: Above observation showed that serological tests at various platforms failed to distinguish weak D from weakly reacting D. Thus, we propose that weakly reacting D should be treated equal as weak D unless they are distinguished by genotyping.",2024,2024,Asian journal of transfusion science,2022-09-28,2022.0,2024,2024.0,"Serological comparison of weak D versus weakly reacting D by four different methods. INTRODUCTION: Weak D red cells were defined as having a reduced amount of D antigen (formerly called ""Du"") that required an indirect antiglobulin test (IAT) for detection. Weakly reacting D is those which give <2+ reactions on routine methods. The present study is sharing our experience on weak D and weakly positive anti-D in various methods. MATERIALS AND METHODS: All the blood sample of patients and blood donor, which were RhD negative, were included in the study. Furthermore, RhD positive sample <2+ was included. We repeated blood grouping of all these samples by gel card (Tulip), tube method (two different antisera), slide method, and Solid Phase Red Cell Adherence (SPRCA) (Immucore, USA). RESULTS: A total number of samples were 27,245. RhD negative found out to be 945 (3.46%). Out of all, 929 (98.3%) samples were Rh D negative in gel card and IAT negative, while 16 (1.7%) were weak D positive. Rh D typing with these samples by different antisera at four platforms showed that 14 were weakly positive (<2+) in any of the four platforms. Similarly, out of 26,300 Rh D Positive samples, 21 samples (0.079%) were serologically weak (<2+). Repeat Rh D typing was done with different antisera in all four platforms. Result showed more than 50% were Rh D negative in any of four platforms. CONCLUSION: Above observation showed that serological tests at various platforms failed to distinguish weak D from weakly reacting D. Thus, we propose that weakly reacting D should be treated equal as weak D unless they are distinguished by genotyping."
pubmed,39822678,Automated red cell exchange in sickle cell disease patients: Retrospective analysis of series of cases in a tertiary care hospital in Eastern India.,"Red cell exchange is important to treat acutely ill sickle cell patients, but it is time-consuming. An automated red cell exchange technique using cell separators developed by different manufacturers helps in removal of sickled hemoglobin and improving blood viscosity. The use of these cell separators permits automated red cell exchange to be performed safely and smoothly with the isovolemic hemodilution. The retrospective analysis of seven cases for automated red cell exchange was performed in IMS and SUM Hospital from September, 2019 to July 2021. One procedure was performed on COBE Spectra Apheresis System and the rest six using Spectra Optia Apheresis System. These procedures were performed on the patients and the decision to perform these procedures was based on clinical indications for red cell exchange following the ASFA guidelines 2019. After only one procedure, all the patients have their sickle hemoglobin reduced to a safe level. End hematocrit was observed to be 33% in three cases, 31.9% in one case, and 30% in the rest three. A total number of red blood cells (RBCs) transfusion in all the cases were 7, 6, 8, 5, 6, 7, and 7 with an average hematocrit of 55%, 56%, 54%, 56%, 55%, 51.7%, and 52.2%, respectively. All the patients partially phenotypically matched, leukoreduced, gamma-irradiated, fresh packed RBCs were provided. Automated red cell exchange came out to be successful in reducing the symptoms along with the improvement in laboratory parameters. New-generation automated apheresis equipment like Spectra Optia, the case series provides better monitoring and also reduces apheresis-related complications.",2024,2024,Asian journal of transfusion science,2022-12-12,2022.0,2024,2024.0,"Automated red cell exchange in sickle cell disease patients: Retrospective analysis of series of cases in a tertiary care hospital in Eastern India. Red cell exchange is important to treat acutely ill sickle cell patients, but it is time-consuming. An automated red cell exchange technique using cell separators developed by different manufacturers helps in removal of sickled hemoglobin and improving blood viscosity. The use of these cell separators permits automated red cell exchange to be performed safely and smoothly with the isovolemic hemodilution. The retrospective analysis of seven cases for automated red cell exchange was performed in IMS and SUM Hospital from September, 2019 to July 2021. One procedure was performed on COBE Spectra Apheresis System and the rest six using Spectra Optia Apheresis System. These procedures were performed on the patients and the decision to perform these procedures was based on clinical indications for red cell exchange following the ASFA guidelines 2019. After only one procedure, all the patients have their sickle hemoglobin reduced to a safe level. End hematocrit was observed to be 33% in three cases, 31.9% in one case, and 30% in the rest three. A total number of red blood cells (RBCs) transfusion in all the cases were 7, 6, 8, 5, 6, 7, and 7 with an average hematocrit of 55%, 56%, 54%, 56%, 55%, 51.7%, and 52.2%, respectively. All the patients partially phenotypically matched, leukoreduced, gamma-irradiated, fresh packed RBCs were provided. Automated red cell exchange came out to be successful in reducing the symptoms along with the improvement in laboratory parameters. New-generation automated apheresis equipment like Spectra Optia, the case series provides better monitoring and also reduces apheresis-related complications."
